iter,days,avg_infection_time,day,useful_calls,wasted_calls
0,29,23.727,0,0,9999999
0,29,23.727,1,1,9999998
0,29,23.727,2,2,9999996
0,29,23.727,3,4,9999992
0,29,23.727,4,15,9999977
0,29,23.727,5,15,9999962
0,29,23.727,6,36,9999926
0,29,23.727,7,71,9999855
0,29,23.727,8,134,9999721
0,29,23.727,9,291,9999430
0,29,23.727,10,602,9998828
0,29,23.727,11,1174,9997654
0,29,23.727,12,2347,9995307
0,29,23.727,13,4689,9990618
0,29,23.727,14,9326,9981292
0,29,23.727,15,18661,9962631
0,29,23.727,16,37483,9925148
0,29,23.727,17,74041,9851107
0,29,23.727,18,146719,9704388
0,29,23.727,19,286618,9417770
0,29,23.727,20,547972,8869798
0,29,23.727,21,1002250,7867548
0,29,23.727,22,1677180,6190368
0,29,23.727,23,2358956,3831412
0,29,23.727,24,2363724,1467688
0,29,23.727,25,1252384,215304
0,29,23.727,26,210692,4612
0,29,23.727,27,4610,2
0,29,23.727,28,2,0
1,29,24.1261,0,1,9999998
1,29,24.1261,1,2,9999996
1,29,24.1261,2,0,9999996
1,29,24.1261,3,3,9999993
1,29,24.1261,4,7,9999986
1,29,24.1261,5,12,9999974
1,29,24.1261,6,24,9999950
1,29,24.1261,7,60,9999890
1,29,24.1261,8,126,9999764
1,29,24.1261,9,215,9999549
1,29,24.1261,10,438,9999111
1,29,24.1261,11,874,9998237
1,29,24.1261,12,1784,9996453
1,29,24.1261,13,3540,9992913
1,29,24.1261,14,7113,9985800
1,29,24.1261,15,14207,9971593
1,29,24.1261,16,28413,9943180
1,29,24.1261,17,56200,9886980
1,29,24.1261,18,111676,9775304
1,29,24.1261,19,219733,9555571
1,29,24.1261,20,423836,9131735
1,29,24.1261,21,794206,8337529
1,29,24.1261,22,1386900,6950629
1,29,24.1261,23,2120330,4830299
1,29,24.1261,24,2497184,2333115
1,29,24.1261,25,1789300,543815
1,29,24.1261,26,514133,29682
1,29,24.1261,27,29602,80
1,29,24.1261,28,80,0
2,28,23.4832,0,0,9999999
2,28,23.4832,1,1,9999998
2,28,23.4832,2,2,9999996
2,28,23.4832,3,7,9999989
2,28,23.4832,4,11,9999978
2,28,23.4832,5,21,9999957
2,28,23.4832,6,42,9999915
2,28,23.4832,7,88,9999827
2,28,23.4832,8,180,9999647
2,28,23.4832,9,356,9999291
2,28,23.4832,10,678,9998613
2,28,23.4832,11,1340,9997273
2,28,23.4832,12,2778,9994495
2,28,23.4832,13,5528,9988967
2,28,23.4832,14,10789,9978178
2,28,23.4832,15,22240,9955938
2,28,23.4832,16,44233,9911705
2,28,23.4832,17,87581,9824124
2,28,23.4832,18,172898,9651226
2,28,23.4832,19,336612,9314614
2,28,23.4832,20,637770,8676844
2,28,23.4832,21,1148895,7527949
2,28,23.4832,22,1861922,5666027
2,28,23.4832,23,2456724,3209303
2,28,23.4832,24,2178494,1030809
2,28,23.4832,25,924336,106473
2,28,23.4832,26,105440,1033
2,28,23.4832,27,1033,0
3,27,22.6211,0,2,9999997
3,27,22.6211,1,2,9999995
3,27,22.6211,2,3,9999992
3,27,22.6211,3,6,9999986
3,27,22.6211,4,20,9999966
3,27,22.6211,5,42,9999924
3,27,22.6211,6,83,9999841
3,27,22.6211,7,157,9999684
3,27,22.6211,8,340,9999344
3,27,22.6211,9,616,9998728
3,27,22.6211,10,1248,9997480
3,27,22.6211,11,2498,9994982
3,27,22.6211,12,5000,9989982
3,27,22.6211,13,9999,9979983
3,27,22.6211,14,20137,9959846
3,27,22.6211,15,40111,9919735
3,27,22.6211,16,79562,9840173
3,27,22.6211,17,157317,9682856
3,27,22.6211,18,307831,9375025
3,27,22.6211,19,587470,8787555
3,27,22.6211,20,1063167,7724388
3,27,22.6211,21,1756779,5967609
3,27,22.6211,22,2406154,3561455
3,27,22.6211,23,2292274,1269181
3,27,22.6211,24,1108261,160920
3,27,22.6211,25,158316,2604
3,27,22.6211,26,2604,0
4,31,26.1825,0,0,9999999
4,31,26.1825,1,0,9999999
4,31,26.1825,2,0,9999999
4,31,26.1825,3,0,9999999
4,31,26.1825,4,0,9999999
4,31,26.1825,5,3,9999996
4,31,26.1825,6,4,9999992
4,31,26.1825,7,11,9999981
4,31,26.1825,8,27,9999954
4,31,26.1825,9,47,9999907
4,31,26.1825,10,118,9999789
4,31,26.1825,11,212,9999577
4,31,26.1825,12,415,9999162
4,31,26.1825,13,843,9998319
4,31,26.1825,14,1680,9996639
4,31,26.1825,15,3374,9993265
4,31,26.1825,16,6855,9986410
4,31,26.1825,17,13635,9972775
4,31,26.1825,18,27331,9945444
4,31,26.1825,19,54193,9891251
4,31,26.1825,20,107452,9783799
4,31,26.1825,21,210904,9572895
4,31,26.1825,22,409676,9163219
4,31,26.1825,23,767458,8395761
4,31,26.1825,24,1347802,7047959
4,31,26.1825,25,2081046,4966913
4,31,26.1825,26,2500394,2466519
4,31,26.1825,27,1857909,608610
4,31,26.1825,28,571678,36932
4,31,26.1825,29,36789,143
4,31,26.1825,30,143,0
5,27,22.4212,0,1,9999998
5,27,22.4212,1,4,9999994
5,27,22.4212,2,5,9999989
5,27,22.4212,3,10,9999979
5,27,22.4212,4,26,9999953
5,27,22.4212,5,40,9999913
5,27,22.4212,6,96,9999817
5,27,22.4212,7,167,9999650
5,27,22.4212,8,355,9999295
5,27,22.4212,9,716,9998579
5,27,22.4212,10,1454,9997125
5,27,22.4212,11,2865,9994260
5,27,22.4212,12,5728,9988532
5,27,22.4212,13,11598,9976934
5,27,22.4212,14,23180,9953754
5,27,22.4212,15,45980,9907774
5,27,22.4212,16,91110,9816664
5,27,22.4212,17,180071,9636593
5,27,22.4212,18,350123,9286470
5,27,22.4212,19,664574,8621896
5,27,22.4212,20,1188013,7433883
5,27,22.4212,21,1907315,5526568
5,27,22.4212,22,2472982,3053586
5,27,22.4212,23,2120203,933383
5,27,22.4212,24,846691,86692
5,27,22.4212,25,85945,747
5,27,22.4212,26,747,0
6,29,23.9896,0,1,9999998
6,29,23.9896,1,0,9999998
6,29,23.9896,2,1,9999997
6,29,23.9896,3,1,9999996
6,29,23.9896,4,9,9999987
6,29,23.9896,5,9,9999978
6,29,23.9896,6,27,9999951
6,29,23.9896,7,60,9999891
6,29,23.9896,8,121,9999770
6,29,23.9896,9,248,9999522
6,29,23.9896,10,496,9999026
6,29,23.9896,11,962,9998064
6,29,23.9896,12,1956,9996108
6,29,23.9896,13,3933,9992175
6,29,23.9896,14,7791,9984384
6,29,23.9896,15,15705,9968679
6,29,23.9896,16,30938,9937741
6,29,23.9896,17,61615,9876126
6,29,23.9896,18,122716,9753410
6,29,23.9896,19,240464,9512946
6,29,23.9896,20,464211,9048735
6,29,23.9896,21,860758,8187977
6,29,23.9896,22,1483947,6704030
6,29,23.9896,23,2209454,4494576
6,29,23.9896,24,2475319,2019257
6,29,23.9896,25,1611687,407570
6,29,23.9896,26,391125,16445
6,29,23.9896,27,16422,23
6,29,23.9896,28,23,0
7,29,24.1206,0,0,9999999
7,29,24.1206,1,1,9999998
7,29,24.1206,2,2,9999996
7,29,24.1206,3,5,9999991
7,29,24.1206,4,4,9999987
7,29,24.1206,5,14,9999973
7,29,24.1206,6,32,9999941
7,29,24.1206,7,61,9999880
7,29,24.1206,8,103,9999777
7,29,24.1206,9,206,9999571
7,29,24.1206,10,442,9999129
7,29,24.1206,11,882,9998247
7,29,24.1206,12,1803,9996444
7,29,24.1206,13,3474,9992970
7,29,24.1206,14,6985,9985985
7,29,24.1206,15,14192,9971793
7,29,24.1206,16,28356,9943437
7,29,24.1206,17,56616,9886821
7,29,24.1206,18,112131,9774690
7,29,24.1206,19,221339,9553351
7,29,24.1206,20,426085,9127266
7,29,24.1206,21,796032,8331234
7,29,24.1206,22,1390300,6940934
7,29,24.1206,23,2124833,4816101
7,29,24.1206,24,2495110,2320991
7,29,24.1206,25,1783074,537917
7,29,24.1206,26,508909,29008
7,29,24.1206,27,28915,93
7,29,24.1206,28,93,0
8,28,22.7494,0,1,9999998
8,28,22.7494,1,3,9999995
8,28,22.7494,2,2,9999993
8,28,22.7494,3,9,9999984
8,28,22.7494,4,17,9999967
8,28,22.7494,5,40,9999927
8,28,22.7494,6,60,9999867
8,28,22.7494,7,147,9999720
8,28,22.7494,8,299,9999421
8,28,22.7494,9,599,9998822
8,28,22.7494,10,1162,9997660
8,28,22.7494,11,2286,9995374
8,28,22.7494,12,4585,9990789
8,28,22.7494,13,9194,9981595
8,28,22.7494,14,18543,9963052
8,28,22.7494,15,36631,9926421
8,28,22.7494,16,72831,9853590
8,28,22.7494,17,144351,9709239
8,28,22.7494,18,282728,9426511
8,28,22.7494,19,540266,8886245
8,28,22.7494,20,988006,7898239
8,28,22.7494,21,1661729,6236510
8,28,22.7494,22,2347859,3888651
8,28,22.7494,23,2378540,1510111
