iter,days,avg_infection_time,day,useful_calls,wasted_calls
0,42,23.3594,0,1,0
0,42,23.3594,1,2,0
0,42,23.3594,2,4,0
0,42,23.3594,3,8,0
0,42,23.3594,4,16,0
0,42,23.3594,5,32,0
0,42,23.3594,6,64,0
0,42,23.3594,7,128,0
0,42,23.3594,8,256,0
0,42,23.3594,9,512,0
0,42,23.3594,10,1024,0
0,42,23.3594,11,2048,0
0,42,23.3594,12,4094,1
0,42,23.3594,13,8182,7
0,42,23.3594,14,16341,28
0,42,23.3594,15,32577,118
0,42,23.3594,16,64792,424
0,42,23.3594,17,128091,1724
0,42,23.3594,18,250454,6607
0,42,23.3594,19,478720,25649
0,42,23.3594,20,877123,94125
0,42,23.3594,21,1480679,326593
0,42,23.3594,22,2161591,1000406
0,42,23.3594,23,2499138,2515591
0,42,23.3594,24,2106193,4873764
0,42,23.3594,25,1278826,7216628
0,42,23.3594,26,602039,8754866
0,42,23.3594,27,245122,9502809
0,42,23.3594,28,94501,9810213
0,42,23.3594,29,35129,9929559
0,42,23.3594,30,13203,9973699
0,42,23.3594,31,4743,9990483
0,42,23.3594,32,1695,9996545
0,42,23.3594,33,664,9998670
0,42,23.3594,34,226,9999542
0,42,23.3594,35,68,9999844
0,42,23.3594,36,42,9999910
0,42,23.3594,37,17,9999966
0,42,23.3594,38,5,9999989
0,42,23.3594,39,0,9999997
0,42,23.3594,40,3,9999994
0,42,23.3594,41,1,9999998
1,43,23.3604,0,1,0
1,43,23.3604,1,2,0
1,43,23.3604,2,4,0
1,43,23.3604,3,8,0
1,43,23.3604,4,16,0
1,43,23.3604,5,32,0
1,43,23.3604,6,64,0
1,43,23.3604,7,128,0
1,43,23.3604,8,256,0
1,43,23.3604,9,512,0
1,43,23.3604,10,1024,0
1,43,23.3604,11,2048,0
1,43,23.3604,12,4092,3
1,43,23.3604,13,8177,8
1,43,23.3604,14,16323,37
1,43,23.3604,15,32555,117
1,43,23.3604,16,64723,462
1,43,23.3604,17,128044,1633
1,43,23.3604,18,250286,6597
1,43,23.3604,19,478494,25519
1,43,23.3604,20,875765,94785
1,43,23.3604,21,1478672,326767
1,43,23.3604,22,2161017,997245
1,43,23.3604,23,2500472,2511252
1,43,23.3604,24,2108497,4869749
1,43,23.3604,25,1277475,7218972
1,43,23.3604,26,602872,8753946
1,43,23.3604,27,246513,9501305
1,43,23.3604,28,93674,9811695
1,43,23.3604,29,34923,9929920
1,43,23.3604,30,13208,9973764
1,43,23.3604,31,4703,9990593
1,43,23.3604,32,1716,9996580
1,43,23.3604,33,598,9998782
1,43,23.3604,34,252,9999494
1,43,23.3604,35,98,9999800
1,43,23.3604,36,45,9999909
1,43,23.3604,37,13,9999972
1,43,23.3604,38,4,9999988
1,43,23.3604,39,4,9999991
1,43,23.3604,40,1,9999997
1,43,23.3604,41,0,9999999
1,43,23.3604,42,2,9999997
2,41,23.3585,0,1,0
2,41,23.3585,1,2,0
2,41,23.3585,2,4,0
2,41,23.3585,3,8,0
2,41,23.3585,4,16,0
2,41,23.3585,5,32,0
2,41,23.3585,6,64,0
2,41,23.3585,7,128,0
2,41,23.3585,8,256,0
2,41,23.3585,9,512,0
2,41,23.3585,10,1023,1
2,41,23.3585,11,2047,0
2,41,23.3585,12,4091,3
2,41,23.3585,13,8180,5
2,41,23.3585,14,16339,22
2,41,23.3585,15,32571,119
2,41,23.3585,16,64768,443
2,41,23.3585,17,128164,1602
2,41,23.3585,18,250482,6574
2,41,23.3585,19,479220,25249
2,41,23.3585,20,877283,94727
2,41,23.3585,21,1479656,328304
2,41,23.3585,22,2162973,998543
2,41,23.3585,23,2501244,2514369
2,41,23.3585,24,2104989,4877465
2,41,23.3585,25,1276568,7221126
2,41,23.3585,26,601747,8756064
2,41,23.3585,27,245786,9502444
2,41,23.3585,28,93630,9811712
2,41,23.3585,29,35237,9929402
2,41,23.3585,30,12856,9974142
2,41,23.3585,31,4807,9990395
2,41,23.3585,32,1638,9996637
2,41,23.3585,33,711,9998630
2,41,23.3585,34,208,9999584
2,41,23.3585,35,67,9999858
2,41,23.3585,36,32,9999936
2,41,23.3585,37,14,9999974
2,41,23.3585,38,1,9999995
2,41,23.3585,39,1,9999996
2,41,23.3585,40,3,9999995
3,41,23.3593,0,1,0
3,41,23.3593,1,2,0
3,41,23.3593,2,4,0
3,41,23.3593,3,8,0
3,41,23.3593,4,16,0
3,41,23.3593,5,32,0
3,41,23.3593,6,64,0
3,41,23.3593,7,128,0
3,41,23.3593,8,256,0
3,41,23.3593,9,512,0
3,41,23.3593,10,1024,0
3,41,23.3593,11,2048,0
3,41,23.3593,12,4095,1
3,41,23.3593,13,8183,8
3,41,23.3593,14,16343,26
3,41,23.3593,15,32583,119
3,41,23.3593,16,64783,426
3,41,23.3593,17,128152,1653
3,41,23.3593,18,250343,6747
3,41,23.3593,19,478842,25406
3,41,23.3593,20,876810,94426
3,41,23.3593,21,1480894,325774
3,41,23.3593,22,2160836,1000360
3,41,23.3593,23,2499578,2515366
3,41,23.3593,24,2106339,4873733
3,41,23.3593,25,1277344,7219590
3,41,23.3593,26,602851,8753817
3,41,23.3593,27,245297,9502831
3,41,23.3593,28,94162,9810752
3,41,23.3593,29,35142,9929577
3,41,23.3593,30,13039,9974020
3,41,23.3593,31,4757,9990536
3,41,23.3593,32,1717,9996583
3,41,23.3593,33,618,9998756
3,41,23.3593,34,246,9999517
3,41,23.3593,35,85,9999826
3,41,23.3593,36,42,9999921
3,41,23.3593,37,8,9999977
3,41,23.3593,38,9,9999983
3,41,23.3593,39,2,9999995
3,41,23.3593,40,4,9999994
4,39,23.3599,0,1,0
4,39,23.3599,1,2,0
4,39,23.3599,2,4,0
4,39,23.3599,3,8,0
4,39,23.3599,4,16,0
4,39,23.3599,5,32,0
4,39,23.3599,6,64,0
4,39,23.3599,7,128,0
4,39,23.3599,8,256,0
4,39,23.3599,9,512,0
4,39,23.3599,10,1024,0
4,39,23.3599,11,2046,1
4,39,23.3599,12,4092,1
4,39,23.3599,13,8183,1
4,39,23.3599,14,16334,29
4,39,23.3599,15,32566,114
4,39,23.3599,16,64720,466
4,39,23.3599,17,128013,1701
4,39,23.3599,18,250259,6582
4,39,23.3599,19,478851,25004
4,39,23.3599,20,876779,94204
4,39,23.3599,21,1479925,326097
4,39,23.3599,22,2160503,999702
4,39,23.3599,23,2499585,2513319
4,39,23.3599,24,2109983,4868117
4,39,23.3599,25,1277727,7219428
4,39,23.3599,26,601618,8756054
4,39,23.3599,27,245319,9502767
4,39,23.3599,28,94751,9809926
4,39,23.3599,29,35110,9929580
4,39,23.3599,30,13240,9973692
4,39,23.3599,31,4746,9990544
4,39,23.3599,32,1702,9996599
4,39,23.3599,33,654,9998705
4,39,23.3599,34,210,9999553
4,39,23.3599,35,76,9999836
4,39,23.3599,36,43,9999921
4,39,23.3599,37,9,9999979
4,39,23.3599,38,9,9999985
5,39,23.3592,0,1,0
5,39,23.3592,1,2,0
5,39,23.3592,2,4,0
5,39,23.3592,3,8,0
5,39,23.3592,4,16,0
5,39,23.3592,5,32,0
5,39,23.3592,6,64,0
5,39,23.3592,7,128,0
5,39,23.3592,8,256,0
5,39,23.3592,9,512,0
5,39,23.3592,10,1024,0
5,39,23.3592,11,2047,1
5,39,23.3592,12,4094,1
5,39,23.3592,13,8181,6
5,39,23.3592,14,16331,33
5,39,23.3592,15,32562,119
5,39,23.3592,16,64758,428
5,39,23.3592,17,128063,1683
5,39,23.3592,18,250351,6649
5,39,23.3592,19,479029,25132
5,39,23.3592,20,876978,94337
5,39,23.3592,21,1479775,327076
5,39,23.3592,22,2161609,999318
5,39,23.3592,23,2498753,2515904
5,39,23.3592,24,2109018,4870085
5,39,23.3592,25,1275866,7222187
5,39,23.3592,26,601320,8756611
5,39,23.3592,27,246449,9501562
5,39,23.3592,28,94322,9810821
5,39,23.3592,29,35156,9929816
5,39,23.3592,30,12769,9974428
5,39,23.3592,31,4760,9990502
5,39,23.3592,32,1696,9996577
5,39,23.3592,33,625,9998734
5,39,23.3592,34,250,9999508
5,39,23.3592,35,76,9999844
5,39,23.3592,36,27,9999949
5,39,23.3592,37,10,9999983
5,39,23.3592,38,2,9999996
6,39,23.3588,0,1,0
6,39,23.3588,1,2,0
6,39,23.3588,2,4,0
6,39,23.3588,3,8,0
6,39,23.3588,4,16,0
6,39,23.3588,5,32,0
6,39,23.3588,6,64,0
6,39,23.3588,7,128,0
6,39,23.3588,8,256,0
6,39,23.3588,9,512,0
6,39,23.3588,10,1024,0
6,39,23.3588,11,2047,1
6,39,23.3588,12,4093,2
6,39,23.3588,13,8182,5
6,39,23.3588,14,16336,31
6,39,23.3588,15,32587,98
6,39,23.3588,16,64757,442
6,39,23.3588,17,128125,1611
6,39,23.3588,18,250512,6538
6,39,23.3588,19,478859,25506
6,39,23.3588,20,876834,94427
6,39,23.3588,21,1480497,326525
6,39,23.3588,22,2162200,999116
6,39,23.3588,23,2499037,2516137
6,39,23.3588,24,2109210,4870811
6,39,23.3588,25,1275649,7223340
6,39,23.3588,26,601193,8757074
6,39,23.3588,27,245294,9503547
6,39,23.3588,28,94288,9810955
6,39,23.3588,29,35168,9929744
6,39,23.3588,30,12858,9974216
6,39,23.3588,31,4870,9990336
6,39,23.3588,32,1679,9996574
6,39,23.3588,33,660,9998663
6,39,23.3588,34,257,9999490
6,39,23.3588,35,87,9999823
6,39,23.3588,36,36,9999932
6,39,23.3588,37,10,9999979
