n,average_rounds,log_log_n,ratio
100,7.74,1.52718,5.06817
114,7.72,1.55523,4.96388
131,8.2,1.58416,5.17624
150,8.24,1.61156,5.11305
172,8.52,1.63851,5.19985
197,7.94,1.66453,4.77011
226,8.84,1.69019,5.23017
259,8.78,1.71503,5.11945
297,9,1.73937,5.1743
341,8.8,1.76334,4.99053
392,8.7,1.78696,4.86861
450,9.3,1.8098,5.13868
517,9.26,1.83227,5.05385
594,9.62,1.85425,5.18809
683,9.78,1.87587,5.21358
785,9.16,1.89697,4.82875
902,10.02,1.9176,5.22528
1037,9.98,1.93789,5.14993
1192,9.96,1.95775,5.08747
1370,9.56,1.97721,4.8351
1575,10.6,1.99633,5.30974
1811,10.74,2.01512,5.3297
2082,10.16,2.03354,4.99621
2394,10.52,2.05165,5.12758
2753,11.22,2.06945,5.42174
3165,10.96,2.0869,5.2518
3639,11.02,2.10407,5.23747
4184,10.7,2.12095,5.04492
4811,11.26,2.13755,5.26771
5532,11.42,2.15389,5.30204
6361,11.18,2.16996,5.15217
7315,10.88,2.18579,4.9776
8412,10.86,2.20137,4.93328
9673,10.72,2.21671,4.83599
11123,11.4,2.23182,5.10795
12791,11.1667,2.2467,4.97025
14709,11.5667,2.26137,5.1149
16915,12.3333,2.27583,5.41928
19452,12.2667,2.29008,5.35644
22369,11.8,2.30413,5.12125
25724,11.7667,2.31798,5.07625
29582,11.8333,2.33165,5.07509
34019,11.1667,2.34513,4.76163
39121,11.8333,2.35844,5.01745
44989,11.6333,2.37157,4.90534
51737,12.8333,2.38453,5.38192
59497,12.1667,2.39732,5.07511
68421,11.8667,2.40995,4.92402
78684,12.4333,2.42243,5.13259
90486,12.5,2.43475,5.134
104058,11.9,2.44692,4.86326
119666,14.2,2.45894,5.77484
137615,12.4,2.47083,5.01856
158257,12.8,2.48257,5.15595
181995,13.4,2.49417,5.37252
209294,13,2.50565,5.18828
240688,12.7,2.51699,5.04571
276791,13.7,2.52821,5.41886
359828,13.8,2.54893,5.41404
413802,14.2,2.55979,5.54732
475872,13.4,2.57054,5.21291
547252,12.4,2.58118,4.80401
629339,13.8,2.5917,5.32469
711427,13.1,2.60084,5.03684
