n,avg_rounds,avg_calls
100,6.6,660
130,6.88,894.4
169,7.19,1215.11
219,7.45,1631.55
284,7.77,2206.68
369,8.11,2992.59
479,8.38,4014.02
622,8.63,5367.86
808,8.89,7183.12
1050,9.26,9723
1365,9.45,12899.2
1774,9.87,17509.4
2306,10.02,23106.1
2997,10.29,30839.1
3896,10.62,41375.5
5064,10.88,55096.3
6583,11.2,73729.6
8557,11.36,97207.5
11124,11.7,130151
14461,12.08,174689
18799,12.32,231604
24438,12.56,306941
31769,12.6,400289
41299,13.12,541843
53688,13.4,719419
69794,13.66,953386
90732,13.78,1.25029e+06
117951,14.16,1.67019e+06
153336,14.42,2.21111e+06
199336,14.62,2.91429e+06
259136,14.92,3.86631e+06
336876,15.32,5.16094e+06
437938,15.52,6.7968e+06
569319,15.62,8.89276e+06
740114,16.04,1.18714e+07
962148,16.26,1.56445e+07
1250792,16.6,2.07631e+07
1626029,16.8,2.73173e+07
2113837,17.1,3.61466e+07
2747988,17.15,4.7128e+07
3572384,17.7,6.32312e+07
4644099,17.75,8.24328e+07
6037328,18.1,1.09276e+08
7848526,18.6,1.45983e+08
10203083,18.7,1.90798e+08
13264007,18.7,2.48037e+08
17243209,19.2,3.3107e+08
22416171,19.5,4.37115e+08
29141022,19.7,5.74078e+08
37883328,20.1,7.61455e+08
49248326,20.1,9.89891e+08
64022823,20.5,1.31247e+09
83229669,20.6,1.71453e+09
108198569,21,2.27217e+09
140658139,21.2,2.98195e+09
182855580,21.4,3.91311e+09
237712254,21.6,5.13458e+09
309025930,22.2,6.86038e+09
401733709,22.4,8.99884e+09
522253821,22.2,1.1594e+10
678929967,22.8,1.54796e+10
882608957,22.8,2.01235e+10
1147391644,23.8,2.73079e+10
1491609137,23.4,3.49037e+10
