n,f,runs,mean_rounds,std_rounds,ratio_log2n,ratio_theory
100,0,200,12.555,1.3698,1.88972,1.88972
100,0.2,200,14.925,1.79317,2.24644,1.79715
100,0.4,200,19.175,2.6589,2.88613,1.73168
100,0.6,200,27.84,4.15218,4.19034,1.67614
100,0.8,200,54.84,9.34887,8.25424,1.65085
120,0,200,12.965,1.32003,1.87711,1.87711
120,0.2,200,15.6,1.86478,2.25861,1.80689
120,0.4,200,20.085,2.57506,2.90797,1.74478
120,0.6,200,29.5,4.4099,4.2711,1.70844
120,0.8,200,56.945,8.75817,8.24467,1.64893
144,0,200,13.235,1.30703,1.8459,1.8459
144,0.2,200,16.345,1.77814,2.27966,1.82373
144,0.4,200,20.905,2.57276,2.91565,1.74939
144,0.6,200,29.625,3.50941,4.13184,1.65274
144,0.8,200,58.805,9.77315,8.20162,1.64032
172,0,200,13.675,1.44214,1.84144,1.84144
172,0.2,200,16.65,1.76723,2.24204,1.79363
172,0.4,200,21.61,2.50786,2.90994,1.74597
172,0.6,200,31.235,4.33402,4.20602,1.68241
172,0.8,200,60,9.23615,8.07943,1.61589
207,0,200,14.275,1.48337,1.85547,1.85547
207,0.2,200,17.245,1.92966,2.24151,1.79321
207,0.4,200,21.995,2.55689,2.85891,1.71535
207,0.6,200,31.695,4.39071,4.11972,1.64789
207,0.8,200,61.495,8.88848,7.99312,1.59862
248,0,200,14.64,1.37106,1.84054,1.84054
248,0.2,200,17.44,1.74402,2.19255,1.75404
248,0.4,200,22.73,2.46526,2.85761,1.71457
248,0.6,200,33.145,4.51396,4.16698,1.66679
248,0.8,200,64.02,8.65414,8.04858,1.60972
298,0,200,15.18,1.37003,1.8469,1.8469
298,0.2,200,18.325,1.75922,2.22954,1.78364
298,0.4,200,23.765,2.62951,2.89141,1.73485
298,0.6,200,33.945,4.19403,4.12998,1.65199
298,0.8,200,65.045,9.39116,7.91382,1.58276
358,0,200,15.59,1.28849,1.83762,1.83762
358,0.2,200,18.87,1.84394,2.22424,1.77939
358,0.4,200,23.945,2.38124,2.82243,1.69346
358,0.6,200,35.26,4.25003,4.15615,1.66246
358,0.8,200,65.735,7.38563,7.74828,1.54966
429,0,200,16.105,1.28539,1.84166,1.84166
429,0.2,200,19.09,1.70483,2.183,1.7464
429,0.4,200,24.785,2.53395,2.83424,1.70055
429,0.6,200,36.11,4.21625,4.1293,1.65172
429,0.8,200,69.94,8.26,7.99786,1.59957
515,0,200,16.555,1.21423,1.83772,1.83772
515,0.2,200,19.95,1.74722,2.21459,1.77167
515,0.4,200,25.47,2.69358,2.82735,1.69641
515,0.6,200,36.95,4.0022,4.10171,1.64069
515,0.8,200,71.515,8.89581,7.93868,1.58774
619,0,200,16.865,1.33254,1.81856,1.81856
619,0.2,200,20.335,1.59546,2.19274,1.75419
619,0.4,200,26.235,2.55979,2.82894,1.69736
619,0.6,200,38.255,4.17939,4.12506,1.65003
619,0.8,200,72.455,7.84895,7.81287,1.56257
743,0,200,17.165,1.26323,1.79979,1.79979
743,0.2,200,20.78,1.75985,2.17883,1.74307
743,0.4,200,27.14,2.69941,2.84569,1.70742
743,0.6,200,39.3,4.09314,4.1207,1.64828
743,0.8,200,74.5,8.0044,7.8115,1.5623
891,0,200,17.565,1.15431,1.79248,1.79248
891,0.2,200,21.515,1.73053,2.19557,1.75646
891,0.4,200,27.525,2.61987,2.80888,1.68533
891,0.6,200,39.735,4.27153,4.05489,1.62196
891,0.8,200,77.07,8.35609,7.86486,1.57297
1069,0,150,18.0467,1.30223,1.79354,1.79354
1069,0.2,150,21.94,1.75411,2.18047,1.74438
1069,0.4,150,28.0267,2.62141,2.78538,1.67123
1069,0.6,150,40.46,4.05934,4.02105,1.60842
1069,0.8,150,79.32,8.08704,7.88309,1.57662
1283,0,150,18.7867,1.30865,1.81948,1.81948
1283,0.2,150,22.6933,1.88582,2.19784,1.75827
1283,0.4,150,28.8133,2.75239,2.79056,1.67433
1283,0.6,150,41.5933,3.73645,4.02829,1.61132
1283,0.8,150,80.68,8.5807,7.81381,1.56276
1540,0,150,18.94,1.1066,1.7887,1.7887
1540,0.2,150,23.28,1.74986,2.19857,1.75885
1540,0.4,150,29.6267,2.63825,2.79795,1.67877
1540,0.6,150,42.48,4.41735,4.01182,1.60473
1540,0.8,150,82.08,8.64709,7.75165,1.55033
1848,0,150,19.5,1.24647,1.79695,1.79695
1848,0.2,150,23.5867,2.04377,2.17354,1.73883
1848,0.4,150,30.0933,2.37251,2.77313,1.66388
1848,0.6,150,44.1667,4.00573,4.07,1.628
1848,0.8,150,82.6667,8.0449,7.61782,1.52356
2218,0,150,19.96,1.1865,1.79576,1.79576
2218,0.2,150,24.28,1.83596,2.18443,1.74754
2218,0.4,150,30.9533,2.43943,2.78481,1.67089
2218,0.6,150,44.68,4.02229,4.01978,1.60791
2218,0.8,150,86.7733,8.2934,7.80684,1.56137
2662,0,150,20.1867,1.29214,1.77414,1.77414
2662,0.2,150,24.76,1.80112,2.17607,1.74086
2662,0.4,150,31.8667,3.0271,2.80065,1.68039
2662,0.6,150,46.3267,4.50428,4.07149,1.6286
2662,0.8,150,87.1133,9.06689,7.6561,1.53122
3194,0,150,20.7333,1.24062,1.78104,1.78104
3194,0.2,150,25.24,1.83435,2.16817,1.73454
3194,0.4,150,32.36,2.31215,2.77979,1.66788
3194,0.6,150,46.5667,4.21155,4.00018,1.60007
3194,0.8,150,90.1933,8.37998,7.7478,1.54956
3833,0,150,21.1733,1.18007,1.77864,1.77864
3833,0.2,150,25.58,1.58969,2.14881,1.71905
3833,0.4,150,33.2267,2.69513,2.79116,1.67469
3833,0.6,150,48.14,3.92211,4.04393,1.61757
3833,0.8,150,91.4933,8.17243,7.68577,1.53715
4600,0,150,21.88,1.4788,1.79825,1.79825
4600,0.2,150,26.5267,1.79745,2.18014,1.74411
4600,0.4,150,33.6733,2.57895,2.7675,1.6605
4600,0.6,150,49.1333,4.60619,4.03811,1.61524
4600,0.8,150,92.8733,7.21417,7.63295,1.52659
5520,0,150,22.2867,1.18342,1.79291,1.79291
5520,0.2,150,27.04,1.86771,2.1753,1.74024
5520,0.4,150,34.4667,2.52681,2.77276,1.66366
5520,0.6,150,49.62,4.01118,3.99181,1.59672
5520,0.8,150,95.6667,8.06073,7.69615,1.53923
6624,0,150,22.7133,1.39191,1.78937,1.78937
6624,0.2,150,27.4533,1.7707,2.16279,1.73023
6624,0.4,150,35.4933,2.4488,2.79618,1.67771
6624,0.6,150,51.0133,4.12878,4.01886,1.60754
6624,0.8,150,98.3333,8.66116,7.74675,1.54935
7949,0,150,23.2933,1.28255,1.7978,1.7978
7949,0.2,150,27.7933,1.72349,2.14512,1.71609
7949,0.4,150,35.88,2.92162,2.76925,1.66155
7949,0.6,150,52.14,4.19976,4.02422,1.60969
7949,0.8,150,101.293,9.39052,7.81792,1.56358
9539,0,150,23.6067,1.37522,1.78573,1.78573
9539,0.2,150,28.4533,1.88454,2.15236,1.72188
9539,0.4,150,36.88,2.40503,2.78979,1.67388
9539,0.6,150,53.3533,4.18713,4.03592,1.61437
9539,0.8,150,101.793,8.72034,7.70017,1.54003
11447,0,100,23.97,1.19304,1.77784,1.77784
