n,iterations,avg_days,avg_total_calls,avg_useful_calls,avg_wasted_calls,avg_runtime_ms
100,1000,9.78,667.089,99,568.089,0
130,1000,10.28,919.887,129,790.887,0
169,1000,10.747,1264.08,168,1096.08,0
220,1000,11.183,1724.46,219,1505.46,0
286,1000,11.621,2344.47,285,2059.47,0
372,1000,12.14,3223.8,371,2852.8,0
484,1000,12.508,4340.26,483,3857.26,0
630,1000,12.999,5922.13,629,5293.13,0
819,1000,13.455,8010.38,818,7192.38,0.001
1065,400,13.815,10769.4,1064,9705.43,0.0125
1385,400,14.3275,14615.5,1384,13231.5,0.635
1801,400,14.8175,19766.4,1800,17966.4,1.0025
2342,400,15.0525,26224.2,2341,23883.2,1.155
3045,400,15.6275,35638.7,3044,32594.7,2.0275
3959,400,15.945,47502.6,3958,43544.6,2.86
5147,400,16.41,63745.1,5146,58599.1,3.8875
6692,400,16.99,86570,6691,79879,5.3375
8700,400,17.32,115107,8699,106408,7.23
11310,150,17.5267,151802,11309,140493,9.66667
14703,150,18.4,208747,14702,194045,13.3333
19114,150,18.3733,269911,19113,250798,17.36
24849,150,19.14,369420,24848,344572,23.7133
32304,150,19.1667,482265,32303,449962,31.1467
41996,150,19.9533,656134,41995,614139,42.3333
54595,150,20.26,866780,54594,812186,55.9733
70974,150,20.6733,1.15838e+06,70973,1.0874e+06,74.6333
92267,150,21.2667,1.55681e+06,92266,1.46455e+06,100.093
119948,80,21.2625,2.01727e+06,119947,1.89732e+06,130.713
155933,80,21.7375,2.69638e+06,155932,2.54044e+06,174.3
202713,80,22.275,3.59972e+06,202712,3.39701e+06,232.062
263527,80,22.775,4.81282e+06,263526,4.54929e+06,312.125
342586,80,22.8375,6.27959e+06,342585,5.937e+06,412.65
445362,80,23.35,8.35529e+06,445361,7.90993e+06,541.712
578971,80,23.8375,1.11369e+07,578970,1.0558e+07,785.763
752663,80,24.225,1.47445e+07,752662,1.39918e+07,947.625
978462,80,24.725,1.95515e+07,978461,1.85731e+07,1254.39
1272001,50,25.22,2.61361e+07,1.272e+06,2.48641e+07,1675.96
1653602,50,25.58,3.44122e+07,1.6536e+06,3.27586e+07,2308.26
2149683,50,26.08,4.5923e+07,2.14968e+06,4.37733e+07,2931.02
2794588,50,26.46,6.04929e+07,2.79459e+06,5.76983e+07,3867.52
3632965,50,26.72,7.97125e+07,3.63296e+06,7.60795e+07,5108.92
4722855,50,27.12,1.05329e+08,4.72285e+06,1.00606e+08,6761.28
6139712,50,27.44,1.38894e+08,6.13971e+06,1.32754e+08,8919.62
7981626,50,28.2,1.85862e+08,7.98162e+06,1.7788e+08,12054.6
10376114,15,28.0667,2.4039e+08,1.03761e+07,2.30014e+08,15888
13488949,15,28.3333,3.18568e+08,1.34889e+07,3.05079e+08,22471.7
17535634,15,29,4.24e+08,1.75356e+07,4.06464e+08,34790.1
22796325,15,29.2,5.53434e+08,2.27963e+07,5.30637e+08,56244.5
29635223,15,29.4667,7.25261e+08,2.96352e+07,6.95626e+08,92294.1
38525790,15,30,9.63349e+08,3.85258e+07,9.24823e+08,137304
50083527,15,30.6667,1.28236e+09,5.00835e+07,1.23228e+09,197152
65108586,15,31.5333,1.71571e+09,6.51086e+07,1.6506e+09,284866
84641162,15,31.7333,2.26516e+09,8.46412e+07,2.18052e+09,398790
110033511,10,32,2.95907e+09,1.10034e+08,2.84904e+09,542272
143043565,10,32.5,3.94051e+09,1.43044e+08,3.79746e+09,828701
