n,algo,Y_mean,Y_min,Y_max,Y_std,C_mean,C_min,C_max,C_std,X_mean,X_min,X_max,X_std
100,push,12.258,10,19,1.271,556.542,319,1223,121.836,6.76018,1,19,2.12549
100,pull,9.67,7,15,1.30579,656.45,424,1188,120.581,6.63081,1,15,2.09877
130,push,12.918,10,23,1.33689,760.456,407,2042,169.094,7.12313,1,23,2.14722
130,pull,10.27,7,16,1.39323,923.424,632,1669,163.361,7.15833,1,16,2.15102
169,push,13.642,11,19,1.31371,1043.95,578,1932,218.262,7.50924,1,19,2.17004
169,pull,10.712,8,20,1.43981,1260.31,798,2780,227.071,7.50182,1,20,2.2172
220,push,14.298,12,19,1.28732,1418.34,907,2511,278.543,7.88684,1,19,2.18253
220,pull,11.14,8,18,1.35366,1710.53,1136,3216,283.425,7.81066,1,18,2.19632
286,push,14.95,13,21,1.26945,1918.19,1268,3660,358.455,8.27195,1,21,2.20257
286,pull,11.604,9,18,1.27718,2343.28,1677,4172,345.993,8.22204,1,18,2.16115
372,push,15.622,13,22,1.32481,2602.55,1615,4885,487.423,8.64915,1,22,2.21183
372,pull,12.136,9,17,1.30442,3214.62,2168,5148,450.363,8.66474,1,17,2.17816
484,push,16.316,14,23,1.36093,3539.02,2321,6774,651.899,9.02262,1,23,2.22004
484,pull,12.526,10,18,1.34362,4338.55,3050,7165,612.706,8.98251,1,18,2.22071
630,push,16.886,14,23,1.32552,4718.54,2964,8671,826.567,9.41119,1,23,2.2309
630,pull,13.038,10,20,1.39447,5942.66,4363,10146,842.741,9.44779,1,20,2.26817
819,push,17.49,15,23,1.28293,6319.98,4217,10899,1039.24,9.78524,1,23,2.23992
819,pull,13.434,11,23,1.39916,7991.17,5828,15903,1111.91,9.76916,1,23,2.28891
1065,push,18.11,16,23,1.30687,8488.58,6195,13694,1379.56,10.149,1,23,2.24075
1065,pull,13.88,11,18,1.21885,10796.5,8065,15284,1234.81,10.1471,1,18,2.18034
1385,push,18.74,16,24,1.32,11366.7,7542,18709,1818.89,10.5406,1,24,2.2481
1385,pull,14.43,12,20,1.43007,14731.4,11212,21750,1885.99,10.644,1,20,2.29523
1801,push,19.51,17,25,1.33038,15489.1,11015,25296,2392.03,10.9158,1,25,2.25071
1801,pull,14.79,12,20,1.55432,19761.6,15276,30361,2685.25,10.9787,1,20,2.37627
2342,push,20.23,18,27,1.36275,20941.2,15580,36657,3179.28,11.2932,1,27,2.25156
2342,pull,15.15,13,20,1.24399,26480.4,21083,36991,2741.24,11.3116,1,20,2.19776
3045,push,20.82,19,25,1.35189,27842,21999,40639,4122.36,11.6803,1,25,2.25923
3045,pull,15.5,13,21,1.38924,35287.6,27623,51630,4029.62,11.5925,1,21,2.28196
3959,push,21.495,18,27,1.42126,37366.4,23721,59368,5609.25,12.0597,1,27,2.26197
3959,pull,16.135,14,23,1.34044,48294.9,40573,75721,5139.98,12.2018,1,23,2.27189
