n	  avg_days	  log n	        loglog n	 avg_days/loglog n	avg_days/log n
114	    7.96	4.736198448	   1.555234799    5.118198234	     1.68067282
131	    7.98	4.875197323	   1.58416058	  5.037368118	     1.636856823
172	    8.18	5.147494477	   1.638510087	  4.992340337	     1.589122638
197	    8.68	5.283203729	   1.664532681	  5.214676829	     1.642942511
226	    8.94	5.420534999	   1.690194519	  5.289332026	     1.649283696
297	    9	    5.693732139	   1.739365945	  5.174299305	     1.580685529
341	    9.2	    5.831882477	   1.763339843	  5.217372043	     1.577535219
683	    9.72	6.52649486	   1.875870024	  5.181595673	     1.489313975
902	    9.9	    6.80461452	   1.917600988	  5.162700719	     1.454895053
1037	10.04	6.944087208	   1.937890536	  5.180891187	     1.445834377
1370	10.2	7.222566019	   1.977210294	  5.15878358	     1.412240466
1811	10.24	7.501634458	   2.015120925	  5.081580899	     1.365035854
2753	10.4	7.920446505	   2.069447581	  5.025495738	     1.313057287
4184	10.6	8.339023006	   2.120946064	  4.997769712	     1.271132121
5532	10.88	8.618304693	   2.153888394	  5.051329507	     1.262429258
11123	11.23	9.316770316	   2.231816036	  5.031776732	     1.205353317
12791	11.33	9.456497078	   2.246702027	  5.042947336	     1.198118067
14709	11.37	9.59621483	   2.261368732	  5.027928368	     1.18484217
16915	11.73	9.735956081	   2.275825845	  5.154172947	     1.204812337
19452	11.9	9.875705172	   2.290077718	  5.196330197	     1.204977244
39121	11.83	10.57441469	   2.358437375	  5.016033127	     1.118738044
