N, k=1, k=2, k=4, k=8, k=16
500, 16.3138, 9.688, 6.1929, 4.2573, 3.1818
1000, 18.061, 10.6706, 6.9594, 5.0019, 4
1500, 19.0197, 11.2661, 7.1697, 5.0177, 4
2000, 19.7379, 11.6584, 7.4061, 5.0678, 4
2500, 20.2901, 11.9749, 7.681, 5.1695, 4.0008
3000, 20.744, 12.2464, 7.9113, 5.3526, 4.0021
3500, 21.0935, 12.4478, 8.0349, 5.5971, 4.0065
4000, 21.4458, 12.6291, 8.0969, 5.8233, 4.0142
4500, 21.7585, 12.7908, 8.1457, 5.957, 4.0396
5000, 21.9716, 12.9564, 8.2054, 5.9957, 4.0943
5500, 22.2179, 13.0848, 8.2834, 6.0017, 4.1782
6000, 22.4387, 13.217, 8.3591, 6.0039, 4.3259
6500, 22.6172, 13.3255, 8.4418, 6.0054, 4.4975
7000, 22.8337, 13.4279, 8.5305, 6.0085, 4.6884
7500, 22.975, 13.5227, 8.628, 6.012, 4.8582
8000, 23.162, 13.6129, 8.7146, 6.0159, 4.9524
8500, 23.2819, 13.698, 8.7809, 6.0203, 4.9912
9000, 23.4224, 13.7879, 8.8658, 6.0275, 4.998
9500, 23.5437, 13.8643, 8.913, 6.0363, 4.9999
10000, 23.6812, 13.9346, 8.9695, 6.0503, 5
